Date,Open,High,Low,Close ,Adj Close 
21-Feb-25,"98,340.67","99,497.97","94,852.96","96,125.55","96,125.55"
20-Feb-25,"96,632.68","98,767.20","96,442.67","98,333.94","98,333.94"
19-Feb-25,"95,532.53","96,855.59","95,011.97","96,635.61","96,635.61"
18-Feb-25,"95,773.81","96,695.38","93,388.84","95,539.55","95,539.55"
17-Feb-25,"96,179.01","97,032.23","95,243.55","95,773.38","95,773.38"
16-Feb-25,"97,580.49","97,725.59","96,060.98","96,175.03","96,175.03"
15-Feb-25,"97,508.38","97,975.04","97,240.20","97,580.35","97,580.35"
14-Feb-25,"96,623.37","98,819.47","96,342.80","97,508.97","97,508.97"
13-Feb-25,"97,888.75","98,111.09","95,269.71","96,623.87","96,623.87"
12-Feb-25,"95,745.70","98,151.02","94,101.20","97,885.86","97,885.86"
11-Feb-25,"97,438.13","98,492.90","94,875.04","95,747.43","95,747.43"
10-Feb-25,"96,499.46","98,333.22","95,320.84","97,437.55","97,437.55"
9-Feb-25,"96,481.31","97,325.28","94,745.26","96,500.09","96,500.09"
8-Feb-25,"96,533.26","96,877.80","95,702.49","96,482.45","96,482.45"
7-Feb-25,"96,581.32","100,154.14","95,653.88","96,529.09","96,529.09"
6-Feb-25,"96,610.64","99,168.61","95,707.35","96,593.30","96,593.30"
5-Feb-25,"97,878.01","99,113.21","96,174.83","96,615.45","96,615.45"
4-Feb-25,"101,398.72","101,745.62","96,208.11","97,871.82","97,871.82"
3-Feb-25,"97,681.10","102,514.17","91,242.89","101,405.42","101,405.42"
2-Feb-25,"100,661.54","101,430.66","96,216.08","97,688.98","97,688.98"
1-Feb-25,"102,402.80","102,755.73","100,297.71","100,655.91","100,655.91"
31-Jan-25,"104,737.56","106,026.35","101,543.88","102,405.02","102,405.02"
30-Jan-25,"103,709.34","106,418.77","103,321.65","104,735.30","104,735.30"
29-Jan-25,"101,317.52","104,750.80","101,283.82","103,703.21","103,703.21"
28-Jan-25,"102,095.41","103,730.82","100,238.19","101,332.48","101,332.48"
27-Jan-25,"102,680.30","103,214.11","97,795.94","102,087.69","102,087.69"
26-Jan-25,"104,713.21","105,438.65","102,507.71","102,682.50","102,682.50"
25-Jan-25,"104,824.03","105,243.79","104,120.38","104,714.65","104,714.65"
24-Jan-25,"103,965.67","107,098.55","102,772.13","104,819.48","104,819.48"
23-Jan-25,"103,657.67","106,820.33","101,257.80","103,960.17","103,960.17"
22-Jan-25,"106,136.38","106,294.34","103,360.27","103,653.07","103,653.07"
21-Jan-25,"102,052.58","107,180.92","100,103.95","106,146.27","106,146.27"
20-Jan-25,"101,083.75","109,114.88","99,471.36","102,016.66","102,016.66"
19-Jan-25,"104,411.29","106,299.80","99,570.53","101,089.61","101,089.61"
18-Jan-25,"104,124.95","104,913.20","102,226.62","104,408.07","104,408.07"
17-Jan-25,"100,025.77","105,884.23","99,948.91","104,462.04","104,462.04"
16-Jan-25,"100,505.30","100,781.59","97,364.45","99,756.91","99,756.91"
15-Jan-25,"96,534.05","100,697.23","96,501.64","100,504.49","100,504.49"
14-Jan-25,"94,519.01","97,352.66","94,322.16","96,534.05","96,534.05"
13-Jan-25,"94,488.89","95,837.00","89,260.10","94,516.52","94,516.52"
12-Jan-25,"94,565.73","95,367.54","93,712.51","94,488.44","94,488.44"
11-Jan-25,"94,700.84","94,977.69","93,840.05","94,566.59","94,566.59"
10-Jan-25,"92,494.49","95,770.61","92,250.09","94,701.45","94,701.45"
9-Jan-25,"95,043.48","95,349.72","91,220.84","92,484.04","92,484.04"
8-Jan-25,"96,924.16","97,258.32","92,525.84","95,043.52","95,043.52"
7-Jan-25,"102,248.85","102,712.48","96,132.88","96,922.70","96,922.70"
6-Jan-25,"98,314.95","102,482.88","97,926.15","102,078.09","102,078.09"
5-Jan-25,"98,233.91","98,813.30","97,291.77","98,314.96","98,314.96"
4-Jan-25,"98,106.99","98,734.43","97,562.98","98,236.23","98,236.23"
3-Jan-25,"96,881.73","98,956.91","96,034.62","98,107.43","98,107.43"
2-Jan-25,"94,416.29","97,739.82","94,201.57","96,886.88","96,886.88"
1-Jan-25,"93,425.10","94,929.87","92,788.13","94,419.76","94,419.76"
31-Dec-24,"92,643.25","96,090.60","91,914.03","93,429.20","93,429.20"
30-Dec-24,"93,527.20","94,903.32","91,317.13","92,643.21","92,643.21"
29-Dec-24,"95,174.05","95,174.88","92,881.79","93,530.23","93,530.23"
28-Dec-24,"94,160.19","95,525.90","94,014.29","95,163.93","95,163.93"
27-Dec-24,"95,704.98","97,294.84","93,310.74","94,164.86","94,164.86"
26-Dec-24,"99,297.70","99,884.57","95,137.88","95,795.52","95,795.52"
25-Dec-24,"98,675.91","99,478.75","97,593.47","99,299.20","99,299.20"
24-Dec-24,"94,684.34","99,404.06","93,448.02","98,676.09","98,676.09"
